ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Dictyota	144086	exact	urn:lsid:marinespecies.org:taxname:144086	Dictyota	J.V.Lamouroux, 1809	144086	Dictyota	J.V.Lamouroux, 1809	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota			
Digenea simplex	144808	exact	urn:lsid:marinespecies.org:taxname:144808	Digenea simplex	(Wulfen) C.Agardh, 1822	144808	Digenea simplex	(Wulfen) C.Agardh, 1822	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Digenea		simplex	
Ectocarpus	144099	exact	urn:lsid:marinespecies.org:taxname:144099	Ectocarpus	Lyngbye, 1819	144099	Ectocarpus	Lyngbye, 1819	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus			
Ellisolandia elongata	732248	exact	urn:lsid:marinespecies.org:taxname:732248	Ellisolandia elongata	(J.Ellis & Solander) K.R.Hind & G.W.Saunders, 2013	732248	Ellisolandia elongata	(J.Ellis & Solander) K.R.Hind & G.W.Saunders, 2013	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Ellisolandia		elongata	
Flabellia petiolata	145094	exact	urn:lsid:marinespecies.org:taxname:145094	Flabellia petiolata	(Turra) Nizamuddin, 1987	145094	Flabellia petiolata	(Turra) Nizamuddin, 1987	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Udoteaceae	Flabellia		petiolata	
Galaxaura rugosa	145739	exact	urn:lsid:marinespecies.org:taxname:145739	Galaxaura rugosa	(J.Ellis & Solander) J.V.Lamouroux, 1816	145739	Galaxaura rugosa	(J.Ellis & Solander) J.V.Lamouroux, 1816	Plantae	Rhodophyta	Florideophyceae	Nemaliales	Galaxauraceae	Galaxaura		rugosa	
Gelidiella	144134	exact	urn:lsid:marinespecies.org:taxname:144134	Gelidiella	Feldmann & G.Hamel, 1934	144134	Gelidiella	Feldmann & G.Hamel, 1934	Plantae	Rhodophyta	Florideophyceae	Gelidiales	Gelidiellaceae	Gelidiella			
Gelidium	144135	exact	urn:lsid:marinespecies.org:taxname:144135	Gelidium	J.V. Lamouroux, 1813	144135	Gelidium	J.V. Lamouroux, 1813	Plantae	Rhodophyta	Florideophyceae	Gelidiales	Gelidiaceae	Gelidium			
Gelidium crinale	145580	exact	urn:lsid:marinespecies.org:taxname:145580	Gelidium crinale	(Hare ex Turner) Gaillon, 1828	145580	Gelidium crinale	(Hare ex Turner) Gaillon, 1828	Plantae	Rhodophyta	Florideophyceae	Gelidiales	Gelidiaceae	Gelidium		crinale	
Gracilaria	144188	exact	urn:lsid:marinespecies.org:taxname:144188	Gracilaria	Greville, 1830	144188	Gracilaria	Greville, 1830	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilaria			
Gymnogongrus griffithsiae	145657	exact	urn:lsid:marinespecies.org:taxname:145657	Gymnogongrus griffithsiae	(Turner) Martius, 1833	145657	Gymnogongrus griffithsiae	(Turner) Martius, 1833	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Phyllophoraceae	Gymnogongrus		griffithsiae	
Halopteris	ambiguous															
Halopteris scoparia	182742	exact	urn:lsid:marinespecies.org:taxname:182742	Halopteris scoparia	(Linnaeus) Sauvageau, 1904	182742	Halopteris scoparia	(Linnaeus) Sauvageau, 1904	Chromista	Ochrophyta	Phaeophyceae	Sphacelariales	Stypocaulaceae	Halopteris		scoparia	
Hypnea	144157	exact	urn:lsid:marinespecies.org:taxname:144157	Hypnea	J.V.Lamouroux, 1813	144157	Hypnea	J.V.Lamouroux, 1813	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Cystocloniaceae	Hypnea			
Jania rubens	145130	exact	urn:lsid:marinespecies.org:taxname:145130	Jania rubens	(Linnaeus) J.V.Lamouroux, 1816	145130	Jania rubens	(Linnaeus) J.V.Lamouroux, 1816	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Jania		rubens	
Laurencia	143914	exact	urn:lsid:marinespecies.org:taxname:143914	Laurencia	J.V.Lamouroux, 1813	143914	Laurencia	J.V.Lamouroux, 1813	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Laurencia			
Liagora favinosa	239305	near_1	urn:lsid:marinespecies.org:taxname:239305	Liagora farinosa	J.V.Lamouroux, 1816	145749	Ganonema farinosum	(J.V.Lamouroux) K.C.Fan & Yung C.Wang, 1974	Plantae	Rhodophyta	Florideophyceae	Nemaliales	Liagoraceae	Liagora		farinosa	
